train_loss,val_loss
5.039963087689221,4.424514009575727
3.951108512408385,3.991833825888112
3.503522281038224,3.810591262713859
3.18927065836461,3.7087354006692506
2.944528975941274,3.7024360711823983
2.7415495734204995,3.7313457697493404
2.570462699873335,3.749288083753678
2.174155610491997,3.7135379717686865
2.0116779782052285,3.8114166018996927
1.7918517209962495,3.8566546578526926
1.7058794356913816,3.931669429302174
1.5952029259652727,3.9794678155809757
1.5536110346443153,4.004933749165337
1.495320572901928,4.040535674782015
1.4791885760314016,4.059019877968893
