split,decoding,BLEU-4,ROUGE-L,PPL,unk_%
UQA valid,greedy,3.696245925408486,0.2229700514917611,43.01408004760742,1.4191187257271247
UQA valid,beam (k=3),4.229348640315383,0.23440698473110957,43.01408004760742,1.3495711772129741
Wiki-UQA,greedy,1.5083395357890124,0.19805762277212244,65.45745086669922,7.319263583295914
Wiki-UQA,beam (k=3),1.7431078024358968,0.1917381769808657,65.45745086669922,6.545247581104155
